state,per_student_spend
Alabama,9696
Alaska,17726
Arizona,8255
Arkansas,10139
California,12143
Colorado,10202
Connecticut,20635
Delaware,15639
District of Columbia,22759
Florida,9346
Georgia,10810
Hawaii,15242
Idaho,7771
Illinois,15757
Indiana,10262
Iowa,11732
Kansas,11653
Kentucky,11110
Louisiana,11452
Maine,14152
Maryland,14762
Massachusetts,17058
Michigan,12345
Minnesota,12995
Mississippi,8935
Missouri,10906
Montana,11680
Nebraska,12816
Nevada,9295
New Hampshire,16893
New Jersey,19526
New Mexico,9582
New York,24048
North Carolina,9377
North Dakota,13758
Ohio,13027
Oklahoma,8239
Oregon,11920
Pennsylvania,16395
Rhode Island,16142
South Carolina,10856
South Dakota,10073
Tennessee,9544
Texas,9606
Utah,7628
Vermont,19341
Virginia,12216
Washington,12995
West Virginia,11334
Wisconsin,12285
Wyoming,16224
