state,per_student_spend
Alabama,9511
Alaska,17838
Arizona,8004
Arkansas,9967
California,12145
Colorado,9809
Connecticut,19322
Delaware,15302
District of Columbia,21974
Florida,9075
Georgia,10205
Hawaii,14322
Idaho,7486
Illinois,15337
Indiana,10045
Iowa,11461
Kansas,10961
Kentucky,10121
Louisiana,11199
Maine,13690
Maryland,14848
Massachusetts,16193
Michigan,11907
Minnesota,12647
Mississippi,8771
Missouri,10589
Montana,11457
Nebraska,12579
Nevada,9320
New Hampshire,15683
New Jersey,18920
New Mexico,9881
New York,23091
North Carolina,9072
North Dakota,13760
Ohio,12645
Oklahoma,7959
Oregon,11264
Pennsylvania,15798
Rhode Island,15962
South Carolina,10590
South Dakota,9939
Tennessee,9184
Texas,9375
Utah,7179
Vermont,18290
Virginia,11886
Washington,11989
West Virginia,11554
Wisconsin,11968
Wyoming,16537
