state,per_student_spend
Alabama,10116
Alaska,18313
Arizona,8785
Arkansas,10345
California,14031
Colorado,11602
Connecticut,21346
Delaware,17235
District of Columbia,22856
Florida,9937
Georgia,11707
Hawaii,16564
Idaho,8272
Illinois,17293
Indiana,10935
Iowa,11958
Kansas,12697
Kentucky,11397
Louisiana,11843
Maine,14892
Maryland,15489
Massachusetts,18733
Michigan,13072
Minnesota,13603
Mississippi,9653
Missouri,11239
Montana,12101
Nebraska,12939
Nevada,9814
New Hampshire,17900
New Jersey,20670
New Mexico,11332
New York,25519
North Carolina,9958
North Dakota,14242
Ohio,13805
Oklahoma,9508
Oregon,12855
Pennsylvania,17142
Rhode Island,16857
South Carolina,11532
South Dakota,10208
Tennessee,9896
Texas,10342
Utah,8366
Vermont,20838
Virginia,12905
Washington,14556
West Virginia,12375
Wisconsin,12740
Wyoming,16698
